타임스탬프,Q1. 성별을 선택해 주세요.,Q2. 연령대를 선택해 주세요.,Q3. 평소 머리를 감는 시간대는 언제인가요?,Q4. 현재 가장 고민되는 두피 상태는 무엇인가요? (최대 2개 선택)  ,Q5.  현재 사용 중인 샴푸를 선택하게 된 가장 큰 이유는 무엇인가요? (복수 선택 가능) ,Q6. 현재 사용 중인 샴푸에 대해 가장 아쉬운 점은 무엇인가요? (복수 선택 가능)  ,"Q7. 하루 중 아침과 밤, 두피 상태가 다르다고 느낀 적이 있나요?","Q8. 만약 아침용(데이) / 밤용(나잇)으로 구분된 두피 케어 샴푸가 출시된다면, 구매 의향이 있나요?

*참고: 
아침용(데이) - 저자극 / 순한 성분으로 가볍게 유분기만 제거
밤용(나잇) - 세정력, 보습력, 탈모 완화↑",1열,2열
2026. 2. 5 오후 5:20:49,여성,20대,아침(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 5:21:09,남성,20대,아침&저녁(하루 2번),두피 열감,"세정력이 좋아서, ",향이 부담스럽다,2,없다,102,
2026. 2. 5 오후 7:12:47,여성,20대,아침(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 세정력이 좋아서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 5 오후 7:13:50,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,"향이 부담스럽다, 두피 케어 효과를 느끼기 어렵다",2,없다,60,62.96296296
2026. 2. 5 오후 7:14:59,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 향이 마음에 들어서",유분이 빨리 올라온다,5,있다,,
2026. 2. 5 오후 7:15:32,남성,20대,아침&저녁(하루 2번),"탈모 / 모발 가늘어짐, 민감성 / 자극감","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:15:44,여성,20대,저녁(하루 1번),특별한 고민 없음,"세정력이 좋아서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:16:22,여성,20대,아침(하루 1번),탈모 / 모발 가늘어짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:16:50,남성,50대 이상,아침(하루 1번),특별한 고민 없음,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,1,있다,,
2026. 2. 5 오후 7:16:56,남성,30대,아침&저녁(하루 2번),"건조함 / 각질, 탈모 / 모발 가늘어짐",세정력이 좋아서,없음,4,있다,,
2026. 2. 5 오후 7:17:58,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","탈모 완화 기능이 있어서, 브랜드 신뢰도 / 인지도",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:18:18,남성,20대,아침&저녁(하루 2번),민감성 / 자극감,세정도 잘되고 세정 후 머릿결 향상되는 느낌,아쉬운 점이 없음.,1,없다,,
2026. 2. 5 오후 7:18:19,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","탈모 완화 기능이 있어서, 가격이 합리적이어서",유분이 빨리 올라온다,5,있다,,
2026. 2. 5 오후 7:18:58,남성,20대,아침&저녁(하루 2번),유분 과다 / 떡짐,늘 쓰던거,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:19:00,남성,20대,아침(하루 1번),민감성 / 자극감,"세정력이 좋아서, 향이 마음에 들어서","유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",5,있다,,
2026. 2. 5 오후 7:19:09,남성,20대,아침(하루 1번),"유분 과다 / 떡짐, 건조함 / 각질",두피 케어 효과를 기대해서,세정력이 부족하다,5,있다,,
2026. 2. 5 오후 7:20:03,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:20:22,여성,20대,아침(하루 1번),유분 과다 / 떡짐,두피 케어 효과를 기대해서,"유분이 빨리 올라온다, 향이 부담스럽다",1,있다,,
2026. 2. 5 오후 7:20:36,남성,30대,아침(하루 1번),"건조함 / 각질, 가려움, 민감성 / 자극감",두피 케어 효과를 기대해서,두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 5 오후 7:21:11,남성,20대,저녁(하루 1번),탈모 / 모발 가늘어짐,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 5 오후 7:21:44,여성,20대,저녁(하루 1번),탈모 / 모발 가늘어짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 가격이 합리적이어서, 브랜드 신뢰도 / 인지도",가격,2,없다,,
2026. 2. 5 오후 7:21:59,남성,20대,아침&저녁(하루 2번),건조함 / 각질,사주는대로,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 5 오후 7:22:00,여성,20대,저녁(하루 1번),유분 과다 / 떡짐,가격이 합리적이어서,"유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",4,있다,,
2026. 2. 5 오후 7:22:06,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 가려움","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 가격이 합리적이어서",유분이 빨리 올라온다,5,있다,,
2026. 2. 5 오후 7:22:32,여성,20대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 5 오후 7:22:56,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 5 오후 7:23:30,남성,20대,아침&저녁(하루 2번),특별한 고민 없음,"두피 케어 효과를 기대해서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 7:23:30,남성,20대,아침&저녁(하루 2번),유분 과다 / 떡짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 세정력이 좋아서",없다,3,있다,,
2026. 2. 5 오후 7:23:50,남성,20대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 브랜드 신뢰도 / 인지도",향이 그저 그렇다,3,없다,,
2026. 2. 5 오후 7:23:53,남성,30대,아침&저녁(하루 2번),건조함 / 각질,"두피 케어 효과를 기대해서, 가격이 합리적이어서",무향이다,2,없다,,
2026. 2. 5 오후 7:23:58,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:24:01,남성,20대,아침&저녁(하루 2번),건조함 / 각질,두피 케어 효과를 기대해서,유분이 빨리 올라온다,3,없다,,
2026. 2. 5 오후 7:24:19,남성,30대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 특별한 고민 없음","세정력이 좋아서, 향이 마음에 들어서, 브랜드 신뢰도 / 인지도",세정력이 부족하다,5,있다,,
2026. 2. 5 오후 7:24:54,남성,20대,아침&저녁(하루 2번),"두피 열감, 유분 과다 / 떡짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",유분이 빨리 올라온다,4,있다,,
2026. 2. 5 오후 7:25:04,남성,20대,아침(하루 1번),특별한 고민 없음,샴푸라고 적혀있는 제품 마트에서 구입,딱히 없습니다,1,없다,,
2026. 2. 5 오후 7:25:13,남성,20대,아침&저녁(하루 2번),특별한 고민 없음,가격이 합리적이어서,세정력이 부족하다,1,없다,,
2026. 2. 5 오후 7:25:14,남성,30대,아침&저녁(하루 2번),"가려움, 탈모 / 모발 가늘어짐",탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:25:47,남성,20대,아침&저녁(하루 2번),특별한 고민 없음,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 7:25:51,남성,20대,아침(하루 1번),"건조함 / 각질, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 5 오후 7:26:25,남성,20대,아침(하루 1번),"유분 과다 / 떡짐, 건조함 / 각질",가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 5 오후 7:26:26,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:26:33,남성,30대,아침(하루 1번),"탈모 / 모발 가늘어짐, 민감성 / 자극감","탈모 완화 기능이 있어서, 향이 마음에 들어서",세정력이 부족하다,2,있다,,
2026. 2. 5 오후 7:27:02,남성,50대 이상,아침(하루 1번),특별한 고민 없음,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 5 오후 7:27:13,남성,30대,아침&저녁(하루 2번),두피 열감,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 향이 마음에 들어서",세정력이 부족하다,5,없다,,
2026. 2. 5 오후 7:27:40,남성,20대,아침(하루 1번),"탈모 / 모발 가늘어짐, 민감성 / 자극감","향이 마음에 들어서, 가격이 합리적이어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:27:45,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,"탈모 완화 기능이 있어서, 세정력이 좋아서",유분이 빨리 올라온다,5,있다,,
2026. 2. 5 오후 7:27:54,여성,20대,아침(하루 1번),특별한 고민 없음,브랜드 신뢰도 / 인지도,두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 7:29:10,남성,20대,저녁(하루 1번),건조함 / 각질,두피 케어 효과를 기대해서,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 5 오후 7:30:28,여성,20대,아침(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:30:40,남성,20대,아침(하루 1번),건조함 / 각질,두피 케어 효과를 기대해서,세정력이 부족하다,3,없다,,
2026. 2. 5 오후 7:32:06,남성,50대 이상,아침(하루 1번),"두피 열감, 건조함 / 각질",브랜드 신뢰도 / 인지도,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:33:13,남성,30대,아침&저녁(하루 2번),특별한 고민 없음,향이 마음에 들어서,없음,1,있다,,
2026. 2. 5 오후 7:33:17,남성,30대,아침&저녁(하루 2번),"건조함 / 각질, 가려움",두피 케어 효과를 기대해서,두피 케어 효과를 느끼기 어렵다,5,없다,,
2026. 2. 5 오후 7:33:38,남성,20대,아침&저녁(하루 2번),"두피 열감, 유분 과다 / 떡짐",브랜드 신뢰도 / 인지도,유분이 빨리 올라온다,3,있다,,
2026. 2. 5 오후 7:34:17,여성,20대,저녁(하루 1번),탈모 / 모발 가늘어짐,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 5 오후 7:34:48,여성,50대 이상,아침(하루 1번),건조함 / 각질,두피 케어 효과를 기대해서,"자극적이다, ",1,있다,,
2026. 2. 5 오후 7:35:04,여성,30대,아침(하루 1번),특별한 고민 없음,"향이 마음에 들어서, 가격이 합리적이어서",유분이 빨리 올라온다,1,없다,,
2026. 2. 5 오후 7:35:09,남성,30대,아침&저녁(하루 2번),"건조함 / 각질, 탈모 / 모발 가늘어짐",두피 케어 효과를 기대해서,향이 부담스럽다,1,없다,,
2026. 2. 5 오후 7:35:33,여성,40대,저녁(하루 1번),건조함 / 각질,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 5 오후 7:35:37,남성,20대,아침&저녁(하루 2번),"두피 열감, 탈모 / 모발 가늘어짐","탈모 완화 기능이 있어서, 세정력이 좋아서",두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 5 오후 7:35:45,남성,20대,아침&저녁(하루 2번),특별한 고민 없음,"세정력이 좋아서, 향이 마음에 들어서",아직은 없습니다,2,있다,,
2026. 2. 5 오후 7:35:50,남성,30대,아침&저녁(하루 2번),특별한 고민 없음,"향이 마음에 들어서, 브랜드 신뢰도 / 인지도",비싸다,4,있다,,
2026. 2. 5 오후 7:36:02,여성,20대,아침(하루 1번),건조함 / 각질,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:36:35,여성,20대,아침(하루 1번),유분 과다 / 떡짐,세정력이 좋아서,향이 부담스럽다,3,없다,,
2026. 2. 5 오후 7:37:17,여성,20대,저녁(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",유분이 빨리 올라온다,2,없다,,
2026. 2. 5 오후 7:37:27,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:37:48,남성,20대,아침(하루 1번),"두피 열감, 민감성 / 자극감",브랜드 신뢰도 / 인지도,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 5 오후 7:38:01,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,두피 케어 효과를 기대해서,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 5 오후 7:38:23,여성,20대,아침(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐",향이 마음에 들어서,유분이 빨리 올라온다,5,있다,,
2026. 2. 5 오후 7:38:33,남성,20대,아침&저녁(하루 2번),가려움,"두피 케어 효과를 기대해서, 세정력이 좋아서, 향이 마음에 들어서",유분이 빨리 올라온다,4,있다,,
2026. 2. 5 오후 7:38:53,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 5 오후 7:39:29,남성,30대,저녁(하루 1번),특별한 고민 없음,가리지 않고 사용합니다,유분이 빨리 올라온다,3,있다,,
2026. 2. 5 오후 7:39:39,여성,20대,저녁(하루 1번),"유분 과다 / 떡짐, 특별한 고민 없음","두피 케어 효과를 기대해서, 가격이 합리적이어서, ",유분이 빨리 올라온다,3,없다,,
2026. 2. 5 오후 7:39:49,남성,30대,아침&저녁(하루 2번),"가려움, 탈모 / 모발 가늘어짐","탈모 완화 기능이 있어서, 가격이 합리적이어서","두피 케어 효과를 느끼기 어렵다, 거품이 덜난다",2,있다,,
2026. 2. 5 오후 7:39:56,남성,30대,아침(하루 1번),건조함 / 각질,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:39:57,여성,20대,아침(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐",브랜드 신뢰도 / 인지도,"유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",5,있다,,
2026. 2. 5 오후 7:39:58,남성,20대,아침(하루 1번),"건조함 / 각질, 민감성 / 자극감","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 향이 마음에 들어서",세정력이 부족하다,4,있다,,
2026. 2. 5 오후 7:40:08,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,"탈모 완화 기능이 있어서, 세정력이 좋아서",세정력이 부족하다,3,있다,,
2026. 2. 5 오후 7:41:06,남성,20대,아침(하루 1번),"건조함 / 각질, 탈모 / 모발 가늘어짐","탈모 완화 기능이 있어서, 브랜드 신뢰도 / 인지도",두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 5 오후 7:41:10,남성,30대,아침(하루 1번),유분 과다 / 떡짐,두피 케어 효과를 기대해서,향이 부담스럽다,4,있다,,
2026. 2. 5 오후 7:41:10,남성,20대,아침&저녁(하루 2번),"두피 열감, 탈모 / 모발 가늘어짐","탈모 완화 기능이 있어서, 세정력이 좋아서",없름,4,있다,,
2026. 2. 5 오후 7:41:18,남성,30대,저녁(하루 1번),특별한 고민 없음,"세정력이 좋아서, 가격이 합리적이어서",유분이 빨리 올라온다,3,없다,,
2026. 2. 5 오후 7:41:42,남성,20대,아침&저녁(하루 2번),"두피 열감, 가려움","향이 마음에 들어서, 가격이 합리적이어서",자극적이다,3,있다,,
2026. 2. 5 오후 7:42:37,남성,30대,아침&저녁(하루 2번),특별한 고민 없음,엄마가 사다줘서,없다.,4,있다,,
2026. 2. 5 오후 7:43:19,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,"탈모 완화 기능이 있어서, 가격이 합리적이어서",두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 5 오후 7:44:15,남성,30대,저녁(하루 1번),특별한 고민 없음,그냥 집에있어서,만족함,3,없다,,
2026. 2. 5 오후 7:44:34,남성,30대,아침(하루 1번),특별한 고민 없음,두피 케어 효과를 기대해서,없습니다,3,없다,,
2026. 2. 5 오후 7:45:11,남성,30대,저녁(하루 1번),"유분 과다 / 떡짐, 건조함 / 각질",가격이 합리적이어서,"유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",3,없다,,
2026. 2. 5 오후 7:45:25,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,두피 케어 효과를 기대해서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:46:38,남성,10대,아침&저녁(하루 2번),"두피 열감, 유분 과다 / 떡짐","향이 마음에 들어서, 브랜드 신뢰도 / 인지도",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:47:31,남성,20대,아침&저녁(하루 2번),"두피 열감, 가려움, 탈모 / 모발 가늘어짐",이유 없음,없다,4,있다,,
2026. 2. 5 오후 7:48:05,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 세정력이 좋아서",향이 부담스럽다,2,있다,,
2026. 2. 5 오후 7:48:07,여성,30대,아침(하루 1번),특별한 고민 없음,"세정력이 좋아서, 향이 마음에 들어서, 가격이 합리적이어서, 브랜드 신뢰도 / 인지도",없음,1,없다,,
2026. 2. 5 오후 7:48:08,남성,30대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 민감성 / 자극감",가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 5 오후 7:48:29,남성,20대,아침&저녁(하루 2번),가려움,"두피 케어 효과를 기대해서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:50:57,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,세정력이 좋아서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:51:42,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:54:33,여성,30대,저녁(하루 1번),"탈모 / 모발 가늘어짐, 민감성 / 자극감","가격이 합리적이어서, 브랜드 신뢰도 / 인지도",두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 5 오후 7:54:49,남성,10대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:54:50,여성,30대,저녁(하루 1번),특별한 고민 없음,"세정력이 좋아서, 향이 마음에 들어서, 가격이 합리적이어서",두피 케어 효과를 느끼기 어렵다,2,있다,,
2026. 2. 5 오후 7:55:13,남성,30대,아침&저녁(하루 2번),"건조함 / 각질, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 향이 마음에 들어서",세정력이 부족하다,4,있다,,
2026. 2. 5 오후 7:55:26,남성,40대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:55:31,남성,10대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐",탈모 완화 기능이 있어서,"유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",5,있다,,
