타임스탬프,Q1. 성별을 선택해 주세요.,Q2. 연령대를 선택해 주세요.,Q3. 평소 머리를 감는 시간대는 언제인가요?,Q4. 현재 가장 고민되는 두피 상태는 무엇인가요? (최대 2개 선택)  ,Q5.  현재 사용 중인 샴푸를 선택하게 된 가장 큰 이유는 무엇인가요? (복수 선택 가능) ,Q6. 현재 사용 중인 샴푸에 대해 가장 아쉬운 점은 무엇인가요? (복수 선택 가능)  ,"Q7. 하루 중 아침과 밤, 두피 상태가 다르다고 느낀 적이 있나요?","Q8. 만약 아침용(데이) / 밤용(나잇)으로 구분된 두피 케어 샴푸가 출시된다면, 구매 의향이 있나요?
2026. 2. 5 오후 7:55:39,남성,10대,아침&저녁(하루 2번),"건조함 / 각질, 탈모 / 모발 가늘어짐","탈모 완화 기능이 있어서, 세정력이 좋아서","세정력이 부족하다, 자극적이다, 두피 케어 효과를 느끼기 어렵다",5,있다,,
2026. 2. 5 오후 7:56:08,남성,20대,아침&저녁(하루 2번),유분 과다 / 떡짐,머릿결이 잘 안 상해서,유분이 빨리 올라온다,4,있다,,
2026. 2. 5 오후 7:56:42,남성,10대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서","유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",5,있다,,
2026. 2. 5 오후 7:56:54,남성,30대,아침&저녁(하루 2번),특별한 고민 없음,향이 마음에 들어서,없음,1,없다,,
2026. 2. 5 오후 7:57:16,남성,10대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 가격이 합리적이어서","세정력이 부족하다, 유분이 빨리 올라온다",5,있다,,
2026. 2. 5 오후 7:57:18,남성,30대,아침(하루 1번),"두피 열감, 유분 과다 / 떡짐","두피 케어 효과를 기대해서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 7:57:58,남성,30대,아침&저녁(하루 2번),"두피 열감, 건조함 / 각질","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:58:01,여성,20대,아침&저녁(하루 2번),건조함 / 각질,탈모 예방,두피 케어 효과를 느끼기 어렵다,5,없다,,
2026. 2. 5 오후 7:58:49,남성,30대,아침&저녁(하루 2번),특별한 고민 없음,브랜드 신뢰도 / 인지도,두피 케어 효과를 느끼기 어렵다,1,있다,,
2026. 2. 5 오후 7:59:03,남성,10대,아침&저녁(하루 2번),유분 과다 / 떡짐,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서","세정력이 부족하다, 유분이 빨리 올라온다",5,있다,,
2026. 2. 5 오후 7:59:33,남성,20대,아침(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","향이 마음에 들어서, 가격이 합리적이어서",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:59:34,여성,30대,아침(하루 1번),"가려움, 탈모 / 모발 가늘어짐","세정력이 좋아서, 향이 마음에 들어서, 가격이 합리적이어서, 브랜드 신뢰도 / 인지도",두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 5 오후 7:59:35,남성,30대,아침(하루 1번),특별한 고민 없음,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 7:59:57,여성,20대,아침(하루 1번),특별한 고민 없음,브랜드 신뢰도 / 인지도,유분이 빨리 올라온다,4,있다,,
2026. 2. 5 오후 8:00:10,남성,30대,아침&저녁(하루 2번),특별한 고민 없음,가격이 합리적이어서,유분이 빨리 올라온다,3,있다,,
2026. 2. 5 오후 8:00:45,남성,30대,아침(하루 1번),특별한 고민 없음,브랜드 신뢰도 / 인지도,유분이 빨리 올라온다,5,없다,,
2026. 2. 5 오후 8:01:13,남성,10대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 가려움, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 가격이 합리적이어서, 브랜드 신뢰도 / 인지도","세정력이 부족하다, 유분이 빨리 올라온다, 향이 부담스럽다",5,있다,,
2026. 2. 5 오후 8:02:09,남성,40대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,브랜드 신뢰도 / 인지도,유분이 빨리 올라온다,2,없다,,
2026. 2. 5 오후 8:03:30,남성,20대,아침(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐",브랜드 신뢰도 / 인지도,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 8:06:07,남성,20대,저녁(하루 1번),건조함 / 각질,"향이 마음에 들어서, 가격이 합리적이어서, 양이 많아서..","자극적이다, 두피 케어 효과를 느끼기 어렵다",5,있다,,
2026. 2. 5 오후 8:07:10,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,선물 받은 순으로 사용,두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 8:09:19,여성,20대,저녁(하루 1번),유분 과다 / 떡짐,가격이 합리적이어서,"유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",5,없다,,
2026. 2. 5 오후 8:10:32,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,향이 부담스럽다,1,없다,,
2026. 2. 5 오후 8:13:19,여성,20대,저녁(하루 1번),"두피 열감, 가려움, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 8:13:23,남성,30대,아침(하루 1번),"유분 과다 / 떡짐, 건조함 / 각질","향이 마음에 들어서, 가격이 합리적이어서",자극적이다,5,없다,,
2026. 2. 5 오후 8:14:34,남성,20대,아침&저녁(하루 2번),"건조함 / 각질, 가려움",탈모 완화 기능이 있어서,세정력이 부족하다,4,있다,,
2026. 2. 5 오후 8:15:14,여성,20대,아침(하루 1번),"건조함 / 각질, 가려움",집에 있어서,두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 5 오후 8:15:37,남성,20대,아침(하루 1번),건조함 / 각질,"향이 마음에 들어서, 가격이 합리적이어서","세정력이 부족하다, 유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",4,있다,,
2026. 2. 5 오후 8:15:56,남성,30대,아침&저녁(하루 2번),유분 과다 / 떡짐,두피 케어 효과를 기대해서,유분이 빨리 올라온다,4,있다,,
2026. 2. 5 오후 8:16:40,남성,20대,아침&저녁(하루 2번),유분 과다 / 떡짐,두피 케어 효과를 기대해서,"두피 케어 효과를 느끼기 어렵다, ",4,있다,,
2026. 2. 5 오후 8:18:11,남성,20대,아침&저녁(하루 2번),"건조함 / 각질, 탈모 / 모발 가늘어짐, 민감성 / 자극감","가격이 합리적이어서, 브랜드 신뢰도 / 인지도",두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 5 오후 8:22:14,남성,20대,저녁(하루 1번),특별한 고민 없음,세정력이 좋아서,자극적이다,3,없다,,
2026. 2. 5 오후 8:24:18,여성,20대,저녁(하루 1번),특별한 고민 없음,두피 케어 효과를 기대해서,향이 안난다,4,있다,,
2026. 2. 5 오후 8:24:27,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","세정력이 좋아서, ",유분이 빨리 올라온다,4,있다,,
2026. 2. 5 오후 8:26:33,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 8:26:59,남성,20대,아침&저녁(하루 2번),가려움,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 8:27:10,남성,20대,아침&저녁(하루 2번),특별한 고민 없음,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 5 오후 8:30:52,남성,30대,아침&저녁(하루 2번),건조함 / 각질,두피 케어 효과를 기대해서,없음,1,없다,,
2026. 2. 5 오후 8:30:58,남성,20대,아침(하루 1번),건조함 / 각질,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 8:34:06,남성,30대,아침(하루 1번),특별한 고민 없음,"두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 8:34:30,남성,20대,아침&저녁(하루 2번),특별한 고민 없음,브랜드 신뢰도 / 인지도,두피 케어 효과를 느끼기 어렵다,2,있다,,
2026. 2. 5 오후 8:37:27,남성,30대,저녁(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","탈모 완화 기능이 있어서, 세정력이 좋아서",없음,4,있다,,
2026. 2. 5 오후 8:38:08,남성,20대,아침(하루 1번),특별한 고민 없음,가격이 합리적이어서,없습니다,1,없다,,
2026. 2. 5 오후 8:38:28,남성,20대,아침&저녁(하루 2번),"건조함 / 각질, 탈모 / 모발 가늘어짐","세정력이 좋아서, 가격이 합리적이어서",자극적이다,4,있다,,
2026. 2. 5 오후 8:41:36,여성,20대,아침(하루 1번),"유분 과다 / 떡짐, 민감성 / 자극감","두피 케어 효과를 기대해서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 8:43:06,남성,20대,아침&저녁(하루 2번),건조함 / 각질,유튜버의 추천,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 5 오후 8:47:24,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 가려움",가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 8:58:45,남성,30대,아침&저녁(하루 2번),건조함 / 각질,미용실에서 공짜로 받아서,없다,2,있다,,
2026. 2. 5 오후 9:01:18,여성,20대,저녁(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 5 오후 9:01:49,남성,20대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,"세정력이 좋아서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,5,없다,,
2026. 2. 5 오후 9:02:27,남성,20대,아침&저녁(하루 2번),"두피 열감, 가려움, 탈모 / 모발 가늘어짐, 민감성 / 자극감","세정력이 좋아서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 9:13:56,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","향이 마음에 들어서, 가격이 합리적이어서",두피 케어 효과를 느끼기 어렵다,5,없다,,
2026. 2. 5 오후 9:16:50,남성,40대,아침&저녁(하루 2번),"민감성 / 자극감, 특별한 고민 없음",브랜드 신뢰도 / 인지도,세정력이 부족하다,3,있다,,
2026. 2. 5 오후 9:20:50,남성,30대,아침&저녁(하루 2번),특별한 고민 없음,"탈모 완화 기능이 있어서, 가격이 합리적이어서",두피 케어 효과를 느끼기 어렵다,2,있다,,
2026. 2. 5 오후 9:21:15,여성,20대,아침(하루 1번),특별한 고민 없음,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 5 오후 9:22:50,여성,50대 이상,아침(하루 1번),특별한 고민 없음,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 9:24:14,남성,50대 이상,저녁(하루 1번),"건조함 / 각질, 탈모 / 모발 가늘어짐",탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,2,있다,,
2026. 2. 5 오후 9:25:11,여성,20대,아침(하루 1번),유분 과다 / 떡짐,가격이 합리적이어서,"유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",5,없다,,
2026. 2. 5 오후 9:28:07,남성,20대,아침&저녁(하루 2번),"건조함 / 각질, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",세정력이 부족하다,4,있다,,
2026. 2. 5 오후 9:32:31,남성,30대,저녁(하루 1번),"건조함 / 각질, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 9:34:33,남성,20대,아침&저녁(하루 2번),"건조함 / 각질, 특별한 고민 없음",두피 케어 효과를 기대해서,없습니다,3,있다,,
2026. 2. 5 오후 9:35:01,여성,20대,저녁(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 세정력이 좋아서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 9:38:51,남성,40대,저녁(하루 1번),특별한 고민 없음,두피 케어 효과를 기대해서,생각없음,1,없다,,
2026. 2. 5 오후 9:43:29,남성,20대,아침(하루 1번),특별한 고민 없음,"두피 케어 효과를 기대해서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 10:03:18,남성,20대,아침(하루 1번),"탈모 / 모발 가늘어짐, 특별한 고민 없음","향이 마음에 들어서, ",딱히 없음,4,없다,,
2026. 2. 5 오후 10:04:32,남성,20대,아침(하루 1번),특별한 고민 없음,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 5 오후 10:11:28,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,1,없다,,
2026. 2. 5 오후 10:12:34,남성,30대,아침(하루 1번),"건조함 / 각질, 탈모 / 모발 가늘어짐",두피 케어 효과를 기대해서,없다.,2,없다,,
2026. 2. 5 오후 10:28:36,남성,20대,아침&저녁(하루 2번),"탈모 / 모발 가늘어짐, 민감성 / 자극감","두피 케어 효과를 기대해서, 가격이 합리적이어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 10:34:36,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,"탈모 완화 기능이 있어서, 향이 마음에 들어서, 가격이 합리적이어서",유분이 빨리 올라온다,3,없다,,
2026. 2. 5 오후 10:34:39,남성,20대,아침&저녁(하루 2번),"탈모 / 모발 가늘어짐, 특별한 고민 없음",엄마가 사놔서(탈모샴푸임),두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 5 오후 10:46:07,여성,20대,아침(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 5 오후 10:59:06,남성,20대,아침(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 11:13:58,여성,20대,저녁(하루 1번),"유분 과다 / 떡짐, 가려움","향이 마음에 들어서, 브랜드 신뢰도 / 인지도",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 11:19:10,남성,30대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 가려움","두피 케어 효과를 기대해서, 향이 마음에 들어서, 가격이 합리적이어서",두피 케어 효과를 느끼기 어렵다,4,있다,,
2026. 2. 5 오후 11:57:26,여성,20대,저녁(하루 1번),"가려움, 민감성 / 자극감","두피 케어 효과를 기대해서, 브랜드 신뢰도 / 인지도",두피 케어 효과를 느끼기 어렵다,2,있다,,
2026. 2. 6 오전 12:00:03,여성,20대,저녁(하루 1번),"유분 과다 / 떡짐, 가려움",가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,5,없다,,
2026. 2. 6 오전 12:06:37,남성,30대,아침&저녁(하루 2번),"건조함 / 각질, 가려움","세정력이 좋아서, 향이 마음에 들어서",두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 6 오전 12:14:09,남성,30대,저녁(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,가격,2,있다,,
2026. 2. 6 오전 12:19:01,남성,30대,아침(하루 1번),특별한 고민 없음,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,3,없다,,
2026. 2. 6 오전 12:35:46,여성,20대,아침(하루 1번),"유분 과다 / 떡짐, 건조함 / 각질","향이 마음에 들어서, 브랜드 신뢰도 / 인지도",러쉬 너무 비싸다,4,없다,,
2026. 2. 6 오전 1:32:13,남성,30대,저녁(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐",탈모 완화 기능이 있어서,유분이 빨리 올라온다,4,있다,,
2026. 2. 6 오전 1:40:43,여성,30대,아침(하루 1번),특별한 고민 없음,브랜드 신뢰도 / 인지도,가격,2,없다,,
2026. 2. 6 오전 1:49:52,남성,30대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 가려움, 탈모 / 모발 가늘어짐","세정력이 좋아서, 향이 마음에 들어서, 브랜드 신뢰도 / 인지도",비싸다,4,없다,,
2026. 2. 6 오전 2:47:46,여성,20대,아침(하루 1번),건조함 / 각질,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 6 오전 7:29:52,여성,20대,저녁(하루 1번),"건조함 / 각질, 가려움",두피 케어 효과를 기대해서,향이 부담스럽다,5,있다,,
2026. 2. 6 오전 8:45:09,남성,20대,아침(하루 1번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐",가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 6 오전 9:08:55,남성,20대,아침&저녁(하루 2번),"탈모 / 모발 가늘어짐, 특별한 고민 없음","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서",크게 아쉬운 점이 없습니다.,1,있다,,
2026. 2. 6 오전 9:22:59,남성,20대,아침&저녁(하루 2번),"두피 열감, 유분 과다 / 떡짐, 건조함 / 각질, 가려움, 민감성 / 자극감","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 향이 마음에 들어서, 가격이 합리적이어서","세정력이 부족하다, 유분이 빨리 올라온다, 자극적이다",3,있다,,
2026. 2. 6 오전 10:04:24,남성,30대,아침(하루 1번),탈모 / 모발 가늘어짐,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 6 오전 10:29:55,여성,20대,아침(하루 1번),특별한 고민 없음,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 6 오전 10:40:13,여성,30대,아침(하루 1번),특별한 고민 없음,"향이 마음에 들어서, 가격이 합리적이어서",없다,4,없다,,
2026. 2. 6 오후 12:14:06,여성,20대,아침(하루 1번),특별한 고민 없음,향이 마음에 들어서,"유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",3,없다,,
2026. 2. 6 오후 12:57:51,남성,20대,저녁(하루 1번),가려움,향이 마음에 들어서,두피 케어 효과를 느끼기 어렵다,3,있다,,
2026. 2. 6 오후 1:14:54,남성,20대,아침(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,세정력이 부족하다,3,있다,,
2026. 2. 6 오후 1:15:45,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 건조함 / 각질",두피 케어 효과를 기대해서,세정력이 부족하다,5,있다,,
2026. 2. 6 오후 1:16:56,남성,20대,아침(하루 1번),유분 과다 / 떡짐,가격이 합리적이어서,유분이 빨리 올라온다,4,있다,,
2026. 2. 6 오후 1:31:34,남성,20대,아침(하루 1번),유분 과다 / 떡짐,두피 케어 효과를 기대해서,두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 6 오후 2:36:22,남성,20대,아침(하루 1번),"유분 과다 / 떡짐, 가려움",가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 6 오후 3:05:49,남성,30대,아침(하루 1번),"건조함 / 각질, 가려움",두피 케어 효과를 기대해서,자극적이다,2,있다,,
2026. 2. 6 오후 5:58:26,남성,20대,아침&저녁(하루 2번),특별한 고민 없음,"탈모 완화 기능이 있어서, 향이 마음에 들어서",비싸다,3,있다,,
2026. 2. 6 오후 7:16:06,여성,20대,저녁(하루 1번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,건조,2,있다,,
2026. 2. 6 오후 9:02:39,남성,10대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,탈모 완화 기능이 있어서,두피 케어 효과를 느끼기 어렵다,5,있다,,
2026. 2. 6 오후 9:32:25,남성,20대,아침&저녁(하루 2번),"유분 과다 / 떡짐, 탈모 / 모발 가늘어짐","두피 케어 효과를 기대해서, 탈모 완화 기능이 있어서, 세정력이 좋아서","유분이 빨리 올라온다, 두피 케어 효과를 느끼기 어렵다",5,있다,,
2026. 2. 7 오후 8:28:50,남성,20대,아침&저녁(하루 2번),"탈모 / 모발 가늘어짐, 민감성 / 자극감",가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,2,없다,,
2026. 2. 8 오후 9:16:47,남성,30대,아침&저녁(하루 2번),탈모 / 모발 가늘어짐,가격이 합리적이어서,두피 케어 효과를 느끼기 어렵다,4,없다,,
2026. 2. 8 오후 9:22:13,남성,30대,저녁(하루 1번),"건조함 / 각질, 가려움",브랜드 신뢰도 / 인지도,아쉬운점이 무엇인지 잘 모르겠음,5,없다,,